CVE-2024-2236	pkg:deb/debian/libgcrypt20@1.10.1-3?arch=amd64&distro=debian-12&package-id=d386f651d9220c9e
CVE-2024-2379	pkg:deb/debian/curl@7.88.1-10%2Bdeb12u14?arch=amd64&distro=debian-12&package-id=61f95e16aafc9e56
CVE-2024-2379	pkg:deb/debian/libcurl4@7.88.1-10%2Bdeb12u14?arch=amd64&distro=debian-12&package-id=09b36c5d81fca08e&upstream=curl
CVE-2024-25269	pkg:deb/debian/libheif1@1.15.1-1%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=6dec48f68a6dce02&upstream=libheif
CVE-2024-26458	pkg:deb/debian/krb5-locales@1.20.1-2%2Bdeb12u4?arch=all&distro=debian-12&package-id=72fde445ac2455fc&upstream=krb5
CVE-2024-26458	pkg:deb/debian/libgssapi-krb5-2@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&package-id=27dfed9942e654b2&upstream=krb5
CVE-2024-26458	pkg:deb/debian/libk5crypto3@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&package-id=28bcce6865c31c7b&upstream=krb5
CVE-2024-26458	pkg:deb/debian/libkrb5-3@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&package-id=be62ac862a4f20f3&upstream=krb5
CVE-2024-26458	pkg:deb/debian/libkrb5support0@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&package-id=45c439166729c218&upstream=krb5
CVE-2024-26461	pkg:deb/debian/krb5-locales@1.20.1-2%2Bdeb12u4?arch=all&distro=debian-12&package-id=72fde445ac2455fc&upstream=krb5
CVE-2024-26461	pkg:deb/debian/libgssapi-krb5-2@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&package-id=27dfed9942e654b2&upstream=krb5
CVE-2024-26461	pkg:deb/debian/libk5crypto3@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&package-id=28bcce6865c31c7b&upstream=krb5
CVE-2024-26461	pkg:deb/debian/libkrb5-3@1.20.1-2%2Bdeb12u4?arch=amd64&distro=debian-12&package-id=be62ac862a4f20f3&upstream=krb5
